index,value,hash,triple,validated_at,validated_hash
39,abc39,347dac6ee8eeea4652c7476d0f97bee5,e,816,3aeeeee1367614f3061d165a5fe3cac3
92,abc92,ae2e85dd75d63e916a525df95e999ea0,9,200,83501e9109999965af11270ef8d61a4f
110,abc110,7af7fa13b999d68bbce565971ddbae27,9,200,83501e9109999965af11270ef8d61a4f
184,abc184,02164648eee4fd760cdab7e343effd74,e,816,3aeeeee1367614f3061d165a5fe3cac3
291,abc291,d7c86a1c1af63c851fe876e44427da83,4,1261,edd652be33204a7a544444d3c722fc01
314,abc314,b76a587a333a5de4fbd566b426e1254c,3,792,d3037333338c0e36482facef46a5d375
343,abc343,d3c939a6e3739444983e1961fad091d8,4,1261,edd652be33204a7a544444d3c722fc01
385,abc385,d847a4440f2a4423b79fe9bdc1cde659,4,1261,edd652be33204a7a544444d3c722fc01
459,abc459,77b05e16607a333bae2dee537ce16b9a,3,792,d3037333338c0e36482facef46a5d375
461,abc461,d2c1333bc7b740a6af0c51eded05e70f,3,792,d3037333338c0e36482facef46a5d375
489,abc489,3168351b76dee9d74442c60fb7947758,4,1261,edd652be33204a7a544444d3c722fc01
771,abc771,f4fc8ddb4c3336ad9fc5e6985bf10bfc,3,792,d3037333338c0e36482facef46a5d375
781,abc781,05cc3a44479f138930aef93d09adb271,4,1261,edd652be33204a7a544444d3c722fc01
887,abc887,6224443f4f20b285f198a5928240b8f9,4,1261,edd652be33204a7a544444d3c722fc01
955,abc955,067e32c47bb94441fb1ddb164028f1a0,4,1261,edd652be33204a7a544444d3c722fc01
1144,abc1144,2e65dc4b3a55644440750cb643d3547c,4,1261,edd652be33204a7a544444d3c722fc01
5742,abc5742,839454c56aa6dddc15cfb3d2409bb5f1,d,6392,5b67f4fddddd4715225d90a48d64ad3f
5781,abc5781,c50ff03d396edaddd83f4276ab16bb20,d,6392,5b67f4fddddd4715225d90a48d64ad3f
5783,abc5783,a510c007dddee781e646b4f5fb8d8556,d,6392,5b67f4fddddd4715225d90a48d64ad3f
6016,abc6016,0e30d5ff60b6a89ddd9e54697dab036a,d,6392,5b67f4fddddd4715225d90a48d64ad3f
6093,abc6093,b892716e7eae5f8ddd9339f70842b358,d,6392,5b67f4fddddd4715225d90a48d64ad3f
6219,abc6219,f1563b896d2ddda0f1f45b8adec413b7,d,6392,5b67f4fddddd4715225d90a48d64ad3f
7833,abc7833,fab1a818df14b380111ff51230f15f5b,1,8811,c3d313e7a72ea2111114dd4963979596
7858,abc7858,21dc11447df0bbab74d750bac5b66000,0,8735,33700000d206321cabda144e627f9c58
